,Gabor,Kiraly,#Kiraly,Hungary,Goalkeeper,Haladas
,Denes,Dibusz,#Dibusz,Hungary,Goalkeeper,Ferencvaros
,Peter,Gulacsi ,#Gulacsi ,Hungary,Goalkeeper,Leipzig
,Attila,Fiola,#Fiola,Hungary,Right Back,Puskas Akademia
,Barnabas,Bese,#Bese,Hungary,Right Back,MTK Budapest
,Richard,Guzmics ,#Guzmics ,Hungary,Centre Back,Wisla Krakow
,Roland,Juhasz,#Juhasz,Hungary,Centre Back,Videoton
,Adam,Lang,#Lang,Hungary,Centre Back,Videoton
,Tamas,Kadar,#Kadar,Hungary,Left Back,Lech Poznan
,Mihaly,Korhut,#Korhut,Hungary,Left Back,Debrecen
,Akos,Elek,#Elek,Hungary,Centre Midfield,Diosgyori
,Adam,Pinter,#Pinter,Hungary,Centre Midfield,Ferencvaros
@ZoltanGera22,Zoltan,Gera ,#Gera ,Hungary,Centre Midfield,Ferencvaros
,Adam,Nagy ,#Nagy ,Hungary,Centre Midfield,Ferencvaros
,Laszlo,Kleinheisler,#Kleinheisler,Hungary,Centre Midfield,Werder Bremen
,Gergo ,Lovrencsics,#Lovrencsics,Hungary,Right Midfield,Lech Poznan
@ZoltanStieber,Zoltan,Stieber,#Stieber,Hungary,Left Midfield,Nurnberg
@BalaszDzsudzsak,Balazs,Dzsudzsak,#Dzsudzsak,Hungary,Forward,Bursaspor
@Adam_Szalai28,Adám,Szalai,#Szalai,Hungary,Forward,Hannover
@KNemeth_Nemo,Krisztian,Nemeth ,#Nemeth ,Hungary,Forward,al-Gharafa
,Nemanja,Nikolics,#Nikolics,Hungary,Forward,Legia Warsaw
@TamasPriskin,Tamas,Priskin,#Priskin,Hungary,Forward,Slovan Bratislava
,Daniel,Bode,#Bode,Hungary,Forward,Ferencvaros
,Antonio,Conte,#Conte,Italy,Manager,
@gianluigibuffon,Gianluigi,Buffon,#Buffon,Italy,Goalkeeper,Juventus
@fmarchetti22,Federico,Marchetti,#Marchetti,Italy,Goalkeeper,Lazio
@s_sirigu,Salvatore,Sirigu ,#Sirigu ,Italy,Goalkeeper,Paris Saint-Germain
@andreabarzagli2,Andrea,Barzagli,#Barzagli,Italy,Centre Back,Juventus
