,Tomas,Rosicky,#Rosicky,Czech Republic,Center Midfield,Arsenal
@jiri_skalak,Jiri,Skalak,#Skalak,Czech Republic,Right Midfield,Brighton & Hove Albion
,David,Lafata,#Lafata,Czech Republic,Forward,Sparta Prague
@Necka7,Tomas,Necid,#Necid,Czech Republic,Forward,Burkaspor
,Milan,Skoda,#Skoda,Czech Republic,Forward,Slavia Prague
,Roy,Hodgson,#Hodgson,England,Manager,
@FraserForster,Fraser,Forster,#Forster,England,Goalkeeper,Southampton
,Joe,Hart,#Hart,England,Goalkeeper,Manchester City
,Tom,Heaton,#Heaton,England,Goalkeeper,Burnley
@ryanbertrand3,Ryan,Bertrand,#Bertrand,England,Right Back,Southampton
@GaryJCahill,Gary,Cahill,#Cahill,England,Center Back,Chelsea
@Nathaniel_Clyne,Nathaniel,Clyne,#Clyne,England,Left Back,Liverpool
@DannyRose03,Danny,Rose,#Rose,England,Right Back,Tottenham Hotspur
@ChrisSmalling,Chris,Smalling,#Smalling,England,Center Back,Manchester United
,John,Stones,#Stones,England,Center Back,Everton
@kylewalker2,Kyle,Walker,#Walker,England,Right Back,Tottenham Hotspur
@Dele_Alli,Dele,Alli,#Alli,England,Center Midfield,Tottenham Hotspur
@RBarkley20,Ross,Barkley,#Barkley,England,Center Midfield,Everton
@ericdier,Eric,Dier,#Dyer,England,Center Midfield,Tottenham Hotspur
@JHenderson,Jordan,Henderson,#Henderson,England,Right Midfield,Liverpool
,Adam,Lallana,#Lallana,England,Right Midfield,Liverpool
,James,Milner,#Milner,England,Left Midfield,Liverpool
@sterling7,Raheem,Sterling,#Sterling,England,Left Midfield,Manchester City
@JackWilshere,Jack,Wilshere,#Wilshere,England,Center Midfield,Arsenal
@HKane,Harry,Kane,#Kane,England,Forward,Tottenham Hotspur
@MarcusRashford ,Marcus,Rashford,#Rashford,England,Forward,Manchester United
@WayneRooney,Wayne,Rooney,#Rooney,England,Forward,Manchester United
@DanielSturridge,Daniel,Sturridge,#Sturridge,England,Forward,Liverpool
@vardy7,Jamie,Vardy,#Vardy,England,Forward,Leicester City
,Didier,Deschamps,#Deschamps,France,Manager,
@CostilOff,Benoit,Costil,#Costil,France,Goalkeeper,Rennes
@H_Lloris,Hugo,Lloris,#Lloris,France,Goalkeeper,Tottenham Hotspur
@SteveMandanda,Steve,Mandanda,#Mandanda,France,Goalkeeper,Marseille
