Twitter Handle,First Name,Last Name,#playername,Country,Position,Club
@RunarSigurjons,Runar,Mar Sigurjonsson,#MarSigurjonsson,Iceland,Centre Midfield,Sundsvall
@KSigthorsson,Kolbeinn,Sigthorsson,#Sigthorsson,Iceland,Forward,Nantes
,Alfred,Finnbogason,#Finnbogason,Iceland,Forward,Augsburg
@jondadi,Jon,Dadi Bodvarsson,#DadiBodvarsson,Iceland,Forward,Kaiserslautern
,Antonio,Conte,#Conte,Italy,Manager,
@gianluigibuffon,Gianluigi,Buffon,#Buffon,Italy,Goalkeeper,Juventus
@fmarchetti22,Federico,Marchetti,#Marchetti,Italy,Goalkeeper,Lazio
@s_sirigu,Salvatore,Sirigu ,#Sirigu ,Italy,Goalkeeper,Paris Saint-Germain
@andreabarzagli2,Andrea,Barzagli,#Barzagli,Italy,Centre Back,Juventus
@bonucci_leo19,Leonardo,Bonucci ,#Bonucci ,Italy,Centre Back,Juventus
@chiellini,Giorgio,Chiellini,#Chiellini,Italy,Centre Back,Juventus
@OgbonnaOfficial,Angelo,Ogbonna,#Ogbonna,Italy,Centre Back,West Ham United
@DarmianOfficial,Matteo,Darmian,#Darmian,Italy,Right Back,Manchester United
@MattiaDeSciglio,Mattia ,De Sciglio,#De Sciglio,Italy,Right Back,AC Milan
@_danielederossi,Daniele ,De Rossi ,#De Rossi ,Italy,Centre Midfield,AS Roma
@Florenzi,Alessandro,Florenzi,#Florenzi,Italy,Centre Midfield,AS Roma
@Giaccherini_24,Emanuele,Giaccherini,#Giaccherini,Italy,Right Midfield,Bologna
,Thiago,Motta,#Motta,Italy,Centre Midfield,Paris Saint-Germain
@Parolo_official,Marco ,Parolo,#Parolo,Italy,Centre Midfield,Lazio
@sturaro_stefano,Stefano,Sturaro,#Sturaro,Italy,Centre Midfield,Juventus
@antocandreva,Antonio,Candreva,#Candreva,Italy,Right Midfield,Lazio
@Edercitadin7,,Eder,#Eder,Italy,Forward,Inter Milan
@ciroimmobile,Ciro,Immobile,#Immobile,Italy,Forward,Torino
@lorenzoinsigne1,Lorenzo,Insigne,#Insigne,Italy,Forward,Napoli
@GPelle19,Graziano,PellÃ¨ ,#PellÃ¨ ,Italy,Forward,Southampton
@SimoneZaza_10,Simone,Zaza,#Zaza,Italy,Forward,Juventus
@OfficialEl92,Stephan ,El Shaarawy,#El Shaarawy,Italy,Left Wing,AS Roma
,Federico,Bernardeschi,#Bernardeschi,Italy,Right Wing,Fiorentina
,Michael,O'Neill,#MichaelO'Neill,Northern Ireland,Manager,
,Roy,Carroll,#Carroll,Northern Ireland,Goalkeeper,Notts County
@mcgov12,Michael,McGovern,#McGovern,Northern Ireland,Goalkeeper,Hamilton Academical
,Alan,Mannus,#Mannus,Northern Ireland,Goalkeeper,St Johnstone
,Craig,Cathcart,#Cathcart,Northern Ireland,Centre Back,Watford
,Jonny,Evans,#JonnyEvans,Northern Ireland,Centre Back,West Bromich Albion
@G23mcauley,Gareth,McAuley,#McAuley,Northern Ireland,Centre Back,West Bromich Albion
@lmccullough94,Luke,McCullough,#McCullough,Northern Ireland,Centre Back,Doncaster Rovers
@ConorMcL3,Conor,McLaughlin,#McLaughlin,Northern Ireland,Right Back,Fleetwood Town
@AaronHughes18,Aaron,Hughes,#Hughes,Northern Ireland,Centre Back,Melbourne City
@leehods2,Lee,Hodson,#Hodson,Northern Ireland,Right Back,Milton Keynes Dons
,Chris,Baird,#Baird,Northern Ireland,Centre Back,Derby County
@PadMcnair,Paddy,McNair,#McNair,Northern Ireland,Centre Back,Manchester United
@StevenDavis8,Steven,Davis,#Davis,Northern Ireland,Centre Midfield,Southampton
,Oliver,Norwood,#Norwood,Northern Ireland,Centre Midfield,Reading
,Corry,Evans,#EvansCorry,Northern Ireland,Centre Midfield,Blackburn Rovers
,Jamie,Ward,#Ward,Northern Ireland,Left Midfield,Nottingham Forest
@dallas_stuart,Stuart,Dallas,#Dallas,Northern Ireland,Left Midfield,Leeds United
,Nial,McGinn,#McGinn,Northern Ireland,Right Midfield,Aberdeen
@shane_fergie,Shane,Ferguson,#Ferguson,Northern Ireland,Left Midfield,Millwall
@WillGrigg,Will,Grigg,#Grigg,Northern Ireland,Forward,Wigan Athletic
,Kyle,Lafferty,#Lafferty,Northern Ireland,Forward,Birmingham City
,Conor,Washingston,#Washingston,Northern Ireland,Forward,Queens Park Rangers
@Josh_Magennis,Josh,Magennis,#Magennis,Northern Ireland,Forward,Kilmarnock
,Adam,NawaÅ‚ka,#NawaÅ‚ka,Poland,Manager,
@ArturBoruc,Artur,Boruc,#Boruc,Poland,Goalkeeper,AFC Bournemouth
@LukaszFabianski,ÅÅukasz,Fabianski,#Fabianski,Poland,Goalkeeper,Swansea City
@13Szczesny13,Wojciech,Szczesny,#Szczesny,Poland,Goalkeeper,A.S. Roma
,Thiago,Cionek,#Cionek,Poland,Centre Back,Palermo
@kamilglik25,Kamil,Gilk,#Gilk,Poland,Centre Back,Torino
,Artur,Jedrzejczyk,#Jedrzejczyk,Poland,Right Back,Legia Warsaw
,MichaÅ‚,Pazdan,#Pazdan,Poland,Centre Back,Legia Warsaw
@LukaszPiszczek_,Lukasz,Piszczek ,#Piszczek ,Poland,Right Back,Borussia Dortmund
@salamon1591,Bartosz,Salamon,#Salamon,Poland,Centre Back,Cagliari
,Jakub ,Wawrzyniak,#Wawrzyniak,Poland,Left Back,Lechia Gdansk
,Jakub ,Blaszczykowski,#Blaszczykowski,Poland,Right Midfield,Fiorentina
@GrosickiKamil,Kamil,Grosicki,#Grosicki,Poland,Right Midfield,Rennes
,Tomasz,Jodlowiec,#Jodlowiec,Poland,Centre Midfield,Legia Warsaw
@kapi67d,Bartosz,Kapustka,#Kapustka,Poland,Left Midfield,Cracovia
@GrzegKrychowiak,Grzegorz,Krychowiak,#Krychowiak,Poland,Centre Midfield,Sevilla
,Karol,Linetty,#Linetty,Poland,Centre Midfield,Lech Poznan
,Krzysztof,MÄ…czynski,#MÄ…czynski,Poland,Centre Midfield,WisÅ‚a Krakow
,Slawomir,Peszko ,#Peszko ,Poland,Left Midfield,Lechia Gdansk
,Filip,Starzynski,#Starzynski,Poland,Centre Midfield,Zaglebie Lubin
,Piotr,Zielinski,#Zielinski,Poland,Centre Midfield,Empoli
@lewy_official,Robert,Lewandowski,#Lewandowski,Poland,Forward,Bayern Munich
@arekmilik9,Arkadiusz,Milik,#Milik,Poland,Forward,Ajax
,Mariusz,Stepinski,#Stepinski,Poland,Forward,Ruch Chorzow
,Martin,O'Neill,#MartinO'Neill,Ireland,Manager,
@No1shaygiven,Shay,Given,#given,Ireland,Goalkeeper,Stoke City
@RandzOfficial,Darren,Randolph,#randolph,Ireland,Goalkeeper,West Ham United
,Keiron,Westwood,#westwood,Ireland,Goalkeeper,Sheffield Wednesday
@seamiecoleman23,Seamus,Coleman,#Seamuscoleman,Ireland,Right Back,Everton
@cyruschristie,Cyrus,Christie,#christie,Ireland,Right Back,Derby County
"@C_Clark_6
",Ciaran,Clark,#clark,Ireland,Centre Back,Aston Villa
,Richard,Keogh,#keogh,Ireland,Centre Back,Derby County
,John,O'Shea,#oshea,Ireland,Centre Back,Sunderland
@ShaneDuffy34,Shane,Duffy,#duffy,Ireland,Centre Back,Blackburn
,Stephen,Ward,#ward,Ireland,Left Back,Burnley
,Aiden,McGeady,#mcgeady,Ireland,Right Midfield,Everton
@JamesMcC14,James,McClean,#mclean,Ireland,Left Midfield,West Brom
,Glenn,Whelan,#whelan,Ireland,Centre Midfield,Stoke City
@JMcCarthy_16,James,McCarthy,#mccarthy,Ireland,Centre Midfield,Everton
@JeffHendrick92,Jeff,Hendrick,#hendrick,Ireland,Centre Midfield,Derby County
@DavidMeyler7,David,Meyler,#meyler,Ireland,Centre Midfield,Hull City
,Stephen,Quinn,#quinn,Ireland,Centre Midfield,Reading
,Wes,Hoolahan,#hoolahan,Ireland,Centre Midfield,Norwich
,Robbie,Brady,#brady,Ireland,Left Back,Norwich CIty
@JonWalters19,Jonathan,Walters,#walters,Ireland,Forward,Stoke City
,Robbie,Keane,#keane,Ireland,Forward,LA Galaxy
@ShaneLong7,Shane,Long,#long,Ireland,Forward,Southamption
,Daryl,Murphy,#murphy,Ireland,Forward,Ipswich Town
,Anghel,IordÄƒnescu,#IordÄƒnescu,Romania,Manager,
@CTatarusanu,Ciprian,Tatarusanu,#Tatarusanu,Romania,Goalkeeper,Fiorentina
@C_Pantilimon1,Costel,Pantilimon,#Pantilimon,Romania,Goalkeeper,Watford
